Party Associated with Site,Property at Issue Shorthand,Site Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
Ashland LLC,Ashland - Kearny,"1106 Harrison Avenue, Kearny NJ",,,,Drew Chemical Corporation,1970,,"Drew Chemical Corporation manufactured industrial water treatment chemicals, boiler compounds, paint defoamers, and other specialty chemicals. It also performed reactor work for esterification and saponfication and operated a warehouse facility.","PAHs
copper
dioxins
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury","acrylamide
chromium compounds
copper
ethylene glycol
lead
volatile organic compounds
zinc compounds","PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury
polyacrylamide polymer
semi-volatile organic compounds
volatile organic compounds",Ashland LLC,,,
Ashland LLC,Foundry Property,"221 Foundry Street, Newark NJ",,,,Ashland LLC,1968,1990,"received, stored, and repackage aliphatic and aromatic hydrocarbons, acids, alcohols, alkines, amines, esters, ethers, glycols, halogenated solvents, ketones, nitroparaffins","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",,,,
Atlantic Richfield Company,Getty Newark Terminal Site,"86 Doremus Ave., Newark NJ",,,1.5,Atlantic Richfield Company,1930,1950,"operated a bulk petroleum storage facility, eventually replaced at the site by LeeMilt","PAHs
PCBs
copper
lead",,lead,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",,,
"Atlas Refinery, Inc.",,"142 Lockwood Street, Newark NJ",,,,"Atlas Refinery, Inc.",1887,present,Atlas Refining's operations centered around generating and refining chemicals,"PAHs
copper
lead
mercury","acetylene
ammonia
diethyl sulfate
ethyl alcohol
formaldehyde
fuel oil #6
mercury
phenol
selenium
sulfuric acid","acrylic acid
anhydrous ammonia
fuel oil
sodium bisulfate
sulfuric acid","arsenic
copper
cyanide
formaldehyde
iron
lead
mercury
petroleum hydrocarbons
phenol",,"Atlas Refinery, Inc.",,,
Aventisub LLC,,"540 New York Avenue, Lyndhurst NJ",,,,Aventisub LLC,1985,1987,manufactured pharmaceuticals and pesticides as part of pesticide and agrichemical business,"DDT
PAHs",DDT,,,"DDD
DDE
DDT
aldrin
alpha-BHC
b-BHC
chlordane
dieldrin
dioxin-associated compounds
heptachlor
lindane
maleic acid",Aventisub LLC,,,
BASF Catalysts LLC,,"1 West Central, Easte Newark NJ",,,,BASF Catalysts LLC,1953,,"manufactured materials such as potassium gold cyanide, silver cyanide salt, ink paste and ink powder","PAHs
copper
lead
mercury","potassium gold cyanide
precious metal coating products
silver cyanide salt","111-Trichloroethane
arsenic
lead
mercury","sodium hydroxide
sodium sulfate",,BASF Catalysts LLC,,,
BASF Corporation,United Cork Site,"50 Central Ave., Kearny, NJ",,,,"BASF Corporation
United Cork Companies",1935,1990,"BASF manufactured chemical products, intermediaries, plasticizers, and dyes. BASF is the successor to United Cork Companies. United Cork manufactured insulation and dyestuffs.","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",phthalic anhydride (dioxin-associated compound),"benzaldehyde
chloranil
maleic anhydride",,"PAHs
PCBs
bis(2-ethylhexyl) phthalate
copper
lead
mercury
petroleum hydrocarbons
phthalates
xylene",BASF Corporation,,,
BASF Corporation,BASF Hawthorne Site,"150 Wagaraw Road, Hawthorne NJ",,,,BASF Corporation,1946,1986,"manufactured textile pigment dispersions, dyestuffs, pigments, dyes, special polymers, and chemicals","chromium
copper
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",BASF Corporation,,,
BASF Corporation,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
BASF Corporation,Bayonne Barrel & Drum Property,"150-154 Raymond Bouldevard, Neark NJ",,,,Bayonne Barrel & Drum,1940,1983,"cleaned and reconditioned steel drums which contained waste, including hazardous substances","DDT
PAHs
copper
dioxins
lead
mercury",,,"PAHs
PCBs
copper
dioxins
lead
mercury
metals",,Bayonne Barrel and Drum Defendants,,,
Bath Iron Works,,"195 Belgrove Drive, Kearny NJ",,,,Congoleum Corp.,late 1880s,mid 1980s,"BWI's predecessor (Congoleum Corp.) manufactured linoleum and/or vinyl flooring, wall coverings, and desk tops. They also manufactured tent cloth, aerial torpedo parts, grenades, synthetic leathers, flooring adhesives, and vinyl asbestos tile. They also operate a laboratory and power plant.","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
lead
mercury",,"DDT
PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Bath Iron Works Corporation,,,
Benjamin Moore,D&J Trucking Property,"310-336 Avenue P, Newark Nj",,,,D&J Trucking Property,1974,,D&J Trucking used the site to dump hazardous substances and other compounds illegally. Benjamin Moore abd Sherwin-Williams arranged to dispose of their hazardous substances with D&J Trucking.,"DDx
PAHs
PCBs
copper
lead
mercury",,,,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","Benjamin Moore & Co.
The Sherwin-Williams Company",,,
Benjamin Moore & Co.,,134 Lister Avenue,,,3.4,Benjamin Moore & Co.,1925,,manufactured paint and resin and disposed of hazardous substances in the Passaic River,"PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Benjamin Moore & Co.,,,
Berol Corporation,,"41 Dickerson Street, Newark NJ",,,,Faber-Castell Corporation,before 1934,,"manufactured rubber, ink, and paint","PAHs
copper",,"PAHs
PCBs
copper
lead",,PAHs,Berol Corporation,,,
Borden & Remington Corp.,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Campbell Foundry Company,Bergen Street Property,"800 Bergen Street, Harrison NJ",,,,,1930,present,"manufactured manhole covers, storm drain gratings, sewer gratings, and other cast iron products","PAHs
PCBs
lead
mercury",,"acetylene
antifreeze
cadmium
cerium
chromium
lead
methylene chloride
phosphoric acid
titanium dioxide","cadmium
chromium
lead",,Campbell Foundry Company,,,
Campbell Foundry Company,Worthington Ave. Property,"2 Worthington Avenue, Harrison NJ",,,,,1975,1992,"CFC did not operate on Worthington Ave. property since it bought it in 1975. However, soil samples show that past manufacturing operations have left arsenic, mercury, lead, benzo(a) anthracene, benzo(b) fluoranthene, and copper",,,,"arsenic
benzo(a) anthracene
benzo(b) fluoranthene
copper
lead
mercury",,Campbell Foundry Company,,,
Campbell Foundry Company,Shipping Yard Property,"1235 Harrison Ave., Kearny NJ",,,,,1981,1991,"illegal landfill used to dispose of waste sand, clay sag, and cupola dust (which contains cadmium and lead)","PAHs
PCBs
lead
mercury",,"cadmium
lead","cadmium
lead",,Campbell Foundry Company,,,
Canning Gumm,,"538 Forest Street, Kearny NJ",,,,Canning Gumm LLC,1938/1939,2000,"Canning Gumm (and/or its predecessors) manufactured ""Clepo"", cleaners, acid salts, abrasive tumbling compounds, paint strippers, soap compounds, other chemicals for metal plating, painting or other finishing. It also manufactured alkaline cleaners, powder and liquid acids, mass finishing compounds, phosphating compounds a sulfuric-acid based brass brightener. Additionally, Canning Gumm compounded commercial detergents, blended specialty products for metal finishing processes, and operated a laboratory for metal finishing processes. Canning Gumm also blended powdered and liquid raw materials.","PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury","copper
cyanide
lead
nickel","1,1,1-trichloroethane
1,1-dichloroethane
benzene
chloride
chloride, toluene, volatile organic compounds, xylenes, 1,1,1-trichloroethane, 1,1-dichloroethane, benzene, methylene chloride, and xylenes
methylene chloride
toluene
volatile organic compounds
xylene",Canning Gumm LLC,,,
"Chargeurs, Inc.",Main Street Property,"199 and 205 Main Street, Lodi NJ",,,,"Chargeurs, Inc.",1800s,1957,"manufactured dyestuffs, pharmaceuticals, synthetic organic chemicals, inorganic chemicals, fine chemicals, industrial cleaning solutions, and resins","PAHs
PCBs
copper
dioxins
lead
mercury",,,,"1,2-dichlorobenzene
PAHs
antimony
arsenic
chlorinated organic compounds
copper
lead
mercury
nonchlorinated organic compounds
tetrachloroethene
toluene","Chargeurs, Inc.",,,
"Chargeurs, Inc.",Arnot Property,"42 Arnot Street, Lodi NJ",,,,"Chargeurs, Inc.",1910,1959,"held ""slime coal"" waste piles, above-ground storage tanks, coal ash waste piles, coal storage and two large water reservoirs","PAHs
PCBs
copper
dioxins
lead
mercury",,,"PCBs
chromium
lead","PCBs
lead","Chargeurs, Inc.",,,
Chemtrade Chemicals Corporation,,"332-352 Doremus Ave., Newark NJ",,,,Chemtrade Chemicals Corporation,1989,,"Chemtrade as successor to Essex Industrial Chemicals, manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
Chemtrade Chemicals Corporation,,"330 Doremus Ave., Newark NJ",,,,Essex Chemical Corporation,1953,1989,"manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
Clean Earth,,"101-115 Jacobus Ave., Kearny NJ",,,,"Clean Earth of North Jersey, Inc.",1984,present,"stores, treats and disposes of hazardous and non hazardous waste; Clean Earth is partial owner of 101-115 and leases 109-113 Jacobus Ave from Melon Leasing Corp.","PAHs
copper
dioxins
lead
mercury",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
arsenic
benzene
copper
dioxin-associated compounds
dioxins
lead
mercury","Clean Earth of North Jersey, Inc.
Melon Leasing Corporation, Inc.",1990,,dioxins
"CNA Holdings, LLC",,"354 and 375 Doremus Ave., Newark NJ",,,,CNA Holdings LLC,1954,1996,stored and distributed chemicals in bulk; operated an on-site landfill from 1954-1974; filled and stored drums of chemicals at property from 1954-1974; manufactured formaldehyde from 1966-1993,"PAHs
dioxin-associated compounds
dioxins",formaldehyde,"caustic soda
dioxin-associated compounds
sulfuric acid",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",CNA Holdings LLC,,,
"Coats & Clark, Inc.",Newark Property,"260 Ogden Street, Newark NJ",,,,Clark Thread Co.,before 1872,1947,"bleached, dyed, milled, and finished thread","copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,,,
Coats & Clark Inc.,East Newark Property,"900 Passaic Ave., East Newark, NJ",,,,Clark Thread Co.,1875,1931,"bleached, dyed milled, mercerized/finishedthread","copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,,,
Coats & Clark Inc.,Bloomfield Property,"735 Broad Street, Bloomfield NJ",,,,Clark Thread Co.,1922,1949,produced cotton thread,"copper
dioxin-associated compounds
dioxins
lead
mercury",,"sodium hypochlorite
sulfuric acid",,"PCE
chlordane
chloroform
copper
lead",Coats & Clark Inc.,,,
"Conopco, Inc., d/b/a Unilever",,"540 New York Ave., Lyndhurst NJ",,,,"Conopco, Inc.",1938,1986,manufactured pharmaceuticals and pesticides,"DDT
PAHs",DDT,,,"4,4-DDT
DDD
DDE
DDT
aldrin
alpha-BHC
b-BHC
chlordane
dieldrin
dioxin-associated compounds
heptachlor
lindane
maleic acid","Aventisub LLC
Conopco, Inc.",,,
Cooper Industries,,"401 Worthington Ave., Harrison NJ",,,,"Cooper Industries, LLC",1904,1985,manufacture and test centrifugal and reciprocating pumps,"PAHs
PCBs
copper
lead",,"Cobalt-60
iridium","iron
lead
mercury","PAHs
PCBs
copper
lead
mercury","Cooper Industries, LLC",,,
"Cooper Industries, LLC",,"7 Bank Street, Newark NJ",,,,J. Wiss & Sons Co.,1848,1854,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
"Cooper Industries, LLC",,"13 Bank Street, Newark NJ",,,,J. Wiss & Sons Co.,1854,,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
"Cooper Industries, LLC",,"26 Bank Street, Newark NJ",,,,J. Wiss & Sons Co.,,1887,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
"Cooper Industries, LLC",,"33 Littleton Avenue, Newark NJ",,,,J. Wiss & Sons Co.,1887,1985,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC",,,
Covanta Essex,,"66 Blanchard St., Newark NJ",,,,Covanta Essex Co.,1990,present,waste to energy plant for refuse collection and incineration,"PAHs
copper
dioxin-associated compounds
lead",,"acetylene
caustic soda
cobalt
copper
diesel fuel
lime
nitric oxide
sulfuric acid","1,1,1-trichloroethane
benzene
benzene, lead, methylene chloride, petroleum hydrocarbons, toluene, 1,1,1-trichloroethane, zince
lead
methylene chloride
petroleum hydrocarbons
toluene
zinc","arsenic
benzene
cyanide
iron
lead",Covanta Essex Co.,,,
"Croda, Inc.",,"185 Foundry Street (Block 5005 -- Lot 21), Newark NJ",,,,Croda Inc.,late 1950s,1987,manufactured lanolin and lanolin derivatives,"PAHs
copper
lead
mercury",,,,"2-Butanone
DDT
benzene
cadmium
copper
cyanide
lead
toluene
zinc",Croda Inc.,,,
Curtiss-Wright Corporation,,"1 Passaic Street, Wood Ridge NJ",,,,Curtiss-Wright Corporation,,,"manufactured cyclone engines, gas turbine generators, and other defense related products","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury","""colored wastes""
cutting fluids
oil-water mixtures
pickling liquids
process-related oils
process-related oils, oil-water mixtures, cutting fluids, pickling liquids, sewage, ""colored wastes""
sewage","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Curtiss-Wright Corporation,,,
Darling Ingredients Inc.,,"61 Blanchard Street, Newark NJ",,,,Darling Ingredients Inc.,1926,,processed fat and bones to produce tallow and meat meal,"PAHs
copper
lead",,"PAHs
copper
lead",,,Darling Ingredients Inc.,,,
"DII Industries, LLC",,"401 Worthington Ave., Harrison NJ",,,,"DII Industries, LLC",1985,1993,manufactured and tested pumps,"PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,,,mercury,"DII Industries, LLC",,,
E. I. du Pont de Nemours and Company,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",,,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
Eden Wood Corporation,,"1 Ackerman Ave., Clifton NJ",,,,Eden Wood Corporation,1930,1986,"manufactured container board, box board, roofing felt and shingles","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs",,"PCBs
copper
fuel oil
lead
mercury
petroleum hydrocarbons",Eden Wood Corporation,,,
"Elan Chemical Co., Inc.",,"268 Doremus Ave., Newark NJ",,,,"Elan Chemical Co., Inc.",1977,present,manufactures chemicals for food flavor and fragrances,"PAHs
PCBs
copper
lead
mercury",,"copper chromite
copper powder
maleic acid
maleic anhydride
phthalic anhydride
sulfuric acid",,"PAHs
PCBs
acenaphthene
chlorobenzene
chrysene
copper
lead
mercury
naphthalene
phenanthrene
pyrene","Elan Chemical Co., Inc.",,,
Emerald Kalama Chemical LLC,,"290 River Drive, Garfield NJ",,,,"Kalama Specialty Chemicals, Inc.",1982,1994,"Kalama Specialty manufactured chemicals for pharmaceuticals, cosmetics, food packaging and preservatives, synthetic flavorings, printing inks, and dyestuffs. Emerald Kalama bought Kalama Specialty Chemicals in 2006, but Goodrich still owns sites (Goodrich acquired Kalama Specialty in 1998).","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,"Emerald Kalama Chemical, LLC
Goodrich Corporation
Kalama Specialty Chemicals, Inc.",,,
EnPro Industries,,"1000 South Fourth Street, Harrison NJ",,,,Crucible Steel,1900,1988,manufactured steel,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","EnPro Industries, Inc., formerly Crucible Steel",,,
Essex Chemical Corporation,,"330 Doremus Ave., Newark NJ",,,,Essex Chemical Corporation,1953,1989,"manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.","PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
chromic acid
sulfuric acid
waste oil",,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,,,
"Everett Smith Group, Ltd.",,"20 Bruen Street, Newark NJ",,,,Everett Smith Group Ltd.,1872,1939,tanned and finished leather,"copper
lead",,"arsenic
chromium
lead acetate
sulfuric acid","aniline
arsenic
chromium
copper
lead
zinc",,Everett Smith Group Ltd.,,,
Flint Group Incorporated,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Fort James LLC,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Foundry Street Corporation,Foundry Street Complex,"185 Foundry Street, Newark NJ",,,,Automatic Electro Plating Corp.,1970,2014,electroplating steel components with zinc or nickel finishes,"copper
lead
mercury",,"arsenic
caustic soda
cyanide
lead
mercury
nickel
sulfuric acid
zinc","arsenic
copper
lead
mercury
zinc",,Foundry Street Corporation,,,
"Foundry Street Development, LLC",Foundry Property,221 Foundry Street,,,,Ashland LLC,1968,1990,"received, stored, and repackaged chemicals; Foundry Street Development owned property from 2003 until sold to meltser","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury","Foundry Street Development, LLC",,,
"Franklin-Burlington Plastics, Inc.",,"113 Passaic Avenue, Kearny NJ",,,,"Franklin-Burlington Plastics, Inc.",1976,,manufactured plastics,"PCBs
copper
lead
mercury",,"PCBs
antimony
arsenic
beryllium
bromodichloromethane
cadmium
chloroform
chromium
chrysene
copper
ethylbenzene
flouranthene
lead
mercury
phthalates
pyrene
xylenes
zinc",,,"Franklin-Burlington Plastics, Inc.",,,
Garfield Molding,,"10 Midland Ave, P.O. Box 3236, Wallington NJ",,,,"Garfield Molding Company, Inc./Garfield Manufacturing Company",1917,present,"molding plastics, cements and other materials for use in electricity industry","PAHs
copper
mercury",,,"PAHs
acetylene
acetylene, ammonia, asbestos, formaldehyde, lead, toluene, PAHs
ammonia
asbestos
formaldehyde
lead
toluene","PCBs
acenaphthene
antimony
benzene
cadmium
copper
dibenzofuran
lead
mercury
petroleum hydrocarbons
xylene","Garfield Molding Company, Inc./Garfield Manufacturing Company",,,
General Electric Company,,"415 South 5th Street, Harrison NJ",,,,RCA Corporation,1917,1976,manufactured radio and vacuum tubes,"PAHs
copper
lead
mercury",,"barium carbonate
carbon
copper
methanol
mica
nickel
trichloroethylene",,mercury,General Electric Company,,,
Givaudan Fragrances Corporation,,"100 Delawanna Ave. and 125 Delawanna Ave., Clifton NJ",,,,Givaudan Fragrances Corporation,1947,1984,"manufactured fragrances, pharmaceuticals, intermediates, and pesticides","DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury","2,4,5-TCP
hexachlorophene","dioxins
furans","2,3,7,8-TCDD","2,3,7,8-TCDD
2,4,5-TCP
DDx
PAHs
copper
dieldrin
lead
mercury",Givaudan Fragrances Corporation,,,
Goodrich Corporation,,"290 River Drive, Garfield NJ",,,,"Emerald Kalama Chemical, LLC",2006,,"Goodrich bought the property in 2001, and continues to own the property at the present time","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,Goodrich Corporation,,,
Hexcel Corporation,,"205 Main Street, Lodi NJ",,,,Hexcel Corporation,1973,,"manufactured fine chemicals, industrial maintenace chemicals, industrial alkaline, water-based cleaners, paint strippers, deodorant/air freshener soap, dibactol, oxalic/phosphoric acid liquid cleaners, and resins","PCBs
copper
lead
mercury",,,,"PCB 1242
PCB 1248
PCB 1254
PCB 1260
PCBs
arsenic
copper
lead
mercury",Hexcel Corporation,,,
Hexion Inc.,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
dioxins, PCBs, pesticides, LMW/HMW PAHs, DDT, dieldrin, copper, lead, mercury, PAHs
lead
mercury
pesticides",CSD defendants,,,
Hoffmann LaRoche Inc,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",,,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
Hoffmann LaRoche Inc,Hoffman-La Roche Site,"340 Kingsland Road, Nutley, NJ",,,,"Hoffmann-La Roche, Inc.",1928,,manufactured pharmaceutical products,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"acids
chloroform
hexane
kerosene
solvents
sulfuric acid
toluene","arsenic
copper
lead
mercury
nickel","acetone
acetonitrile
aluminum
arsenic
hexane
iron
lead
methylene chloride
polynuclear aromatic hydrocarbons
xylene","Hoffmann-La Roche, Inc.",,,
Honeywell International Inc.,,"65 Lodi Street, Passaic NJ",,,,"Honeywell International, Inc.",1899,1987,"nitrating plant, bulk acid distribution facility, plastics and pellets storage, contained an incinerator","copper
lead
mercury",,,,"TPH
TPH, benzene, toluene, xylene, zinc, lead, cadmium, arsenic, selenium, copper, mercury, trans1,dichloroethene, trichlorethene, chromium
arsenic
benzene
cadmium
chromium
copper
lead
mercury
selenium
toluene
trans1,2dichloroethene
trichloroethene
xylene
zinc","Honeywell International, Inc.",,,
Houghton International Inc.,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Innospec Active Chemicals LLC,,"418 Falmouth Ave., Elmwood Park NJ",,,,Innospec Active Chemicals LLC,1956,2005,manufactured and supplied chemical aid s for textile and personal care products,"PAHs
lead
mercury",,"acetylene
dichlorobenzene
maleic anhydride
methanol
sulfuric acid
trichlorobenzene
xylenes",,"1,4 dichlorobenzene
benzene
chlorobenzene
vinyl chloride",Innospec Active Chemicals LLC,,,
INX International Ink Co.,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Ingredion Incorporated,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",,,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
Johnson & Johnson,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",,,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
"Kalama Specialty Chemicals, Inc. and Goodrich Corporation",,"290 River Drive, Garflied NJ",,,,"Kalama Specialty Chemicals, Inc.",1982,1994,"manufactured chemicals for pharmaceuticals, cosmetics, food packaging, food preservatives, synthetic flavorings, printing inks, and dysetuffs","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,"Kalama Specialty Chemicals, Inc.",,,
Kearny Smelting & Refining Corp.,,"936 Harrison Ave., Kearny NJ",,,,Kearny Smelting & Refining Corp.,1946,2009,"smelted scrap metal, and scrapped brass and bronze","PAHs
PCBs
copper
lead
mercury",,"copper
fuel oil
lead",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Kearny Smelting & Refining Corp.,,,
