,Party Associated with Site,Property at Issue Shorthand,Site_Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
62,Garfield Molding,,"10 Midland Ave, P.O. Box 3236, Wallington NJ",40.86136219999999,-74.1063382,,"Garfield Molding Company, Inc./Garfield Manufacturing Company",1917,present,"molding plastics, cements and other materials for use in electricity industry","PAHs
copper
mercury",,,"PAHs
acetylene
acetylene, ammonia, asbestos, formaldehyde, lead, toluene, PAHs
ammonia
asbestos
formaldehyde
lead
toluene","PCBs
acenaphthene
antimony
benzene
cadmium
copper
dibenzofuran
lead
mercury
petroleum hydrocarbons
xylene","Garfield Molding Company, Inc./Garfield Manufacturing Company",,,
63,General Electric Company,,"415 South 5th Street, Harrison NJ",40.7418899,-74.1537777,,RCA Corporation,1917,1976,manufactured radio and vacuum tubes,"PAHs
copper
lead
mercury",,"barium carbonate
carbon
copper
methanol
mica
nickel
trichloroethylene",,mercury,General Electric Company,,,
64,Givaudan Fragrances Corporation,,"100 Delawanna Ave. and 125 Delawanna Ave., Clifton NJ",40.82910649999999,-74.1287542,,Givaudan Fragrances Corporation,1947,1984,"manufactured fragrances, pharmaceuticals, intermediates, and pesticides","DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury","2,4,5-TCP
hexachlorophene","dioxins
furans","2,3,7,8-TCDD","2,3,7,8-TCDD
2,4,5-TCP
DDx
PAHs
copper
dieldrin
lead
mercury",Givaudan Fragrances Corporation,,,
65,Goodrich Corporation,,"290 River Drive, Garfield NJ",40.8683369,-74.11049799999999,,"Emerald Kalama Chemical, LLC",2006,,"Goodrich bought the property in 2001, and continues to own the property at the present time","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,Goodrich Corporation,,,
66,Hexcel Corporation,,"205 Main Street, Lodi NJ",40.8807338,-74.08417969999999,,Hexcel Corporation,1973,,"manufactured fine chemicals, industrial maintenace chemicals, industrial alkaline, water-based cleaners, paint strippers, deodorant/air freshener soap, dibactol, oxalic/phosphoric acid liquid cleaners, and resins","PCBs
copper
lead
mercury",,,,"PCB 1242
PCB 1248
PCB 1254
PCB 1260
PCBs
arsenic
copper
lead
mercury",Hexcel Corporation,,,
67,Hexion Inc.,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
dioxins, PCBs, pesticides, LMW/HMW PAHs, DDT, dieldrin, copper, lead, mercury, PAHs
lead
mercury
pesticides",CSD defendants,,,
68,Hoffmann LaRoche Inc,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
69,Hoffmann LaRoche Inc,Hoffman-La Roche Site,"340 Kingsland Road, Nutley, NJ",40.8335462,-74.1572095,,"Hoffmann-La Roche, Inc.",1928,,manufactured pharmaceutical products,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"acids
chloroform
hexane
kerosene
solvents
sulfuric acid
toluene","arsenic
copper
lead
mercury
nickel","acetone
acetonitrile
aluminum
arsenic
hexane
iron
lead
methylene chloride
polynuclear aromatic hydrocarbons
xylene","Hoffmann-La Roche, Inc.",,,
70,Honeywell International Inc.,,"65 Lodi Street, Passaic NJ",40.8583349,-74.1114247,,"Honeywell International, Inc.",1899,1987,"nitrating plant, bulk acid distribution facility, plastics and pellets storage, contained an incinerator","copper
lead
mercury",,,,"TPH
TPH, benzene, toluene, xylene, zinc, lead, cadmium, arsenic, selenium, copper, mercury, trans1,dichloroethene, trichlorethene, chromium
arsenic
benzene
cadmium
chromium
copper
lead
mercury
selenium
toluene
trans1,2dichloroethene
trichloroethene
xylene
zinc","Honeywell International, Inc.",,,
71,Houghton International Inc.,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
72,Innospec Active Chemicals LLC,,"418 Falmouth Ave., Elmwood Park NJ",40.91224039999999,-74.1112412,,Innospec Active Chemicals LLC,1956,2005,manufactured and supplied chemical aid s for textile and personal care products,"PAHs
lead
mercury",,"acetylene
dichlorobenzene
maleic anhydride
methanol
sulfuric acid
trichlorobenzene
xylenes",,"1,4 dichlorobenzene
benzene
chlorobenzene
vinyl chloride",Innospec Active Chemicals LLC,,,
73,INX International Ink Co.,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
74,Ingredion Incorporated,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
75,Johnson & Johnson,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
76,"Kalama Specialty Chemicals, Inc. and Goodrich Corporation",,"290 River Drive, Garflied NJ",40.8683369,-74.11049799999999,,"Kalama Specialty Chemicals, Inc.",1982,1994,"manufactured chemicals for pharmaceuticals, cosmetics, food packaging, food preservatives, synthetic flavorings, printing inks, and dysetuffs","PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,"Kalama Specialty Chemicals, Inc.",,,
77,Kearny Smelting & Refining Corp.,,"936 Harrison Ave., Kearny NJ",40.7489219,-74.1423926,,Kearny Smelting & Refining Corp.,1946,2009,"smelted scrap metal, and scrapped brass and bronze","PAHs
PCBs
copper
lead
mercury",,"copper
fuel oil
lead",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Kearny Smelting & Refining Corp.,,,
78,"L3Harris Technologies, Inc.",,"100 Kingsland Road, Clifton NJ",40.8272355,-74.1394584,,L3Harris Technologies,1946,present,"manufactured televisions, radio tubes, telephones, washing machines, printed circuit boards, and also perform welding, soldering, painting, printing, degreasing, drilling, machining, grinding, assembling, and product testing.",copper,,"111-Trichloroethane
acetone
cadmium
chromium
copper
dichlorodifluoromethane
hydrogen chloride
lead
methylene chloride
molybdenum
nickel
nitric acid
nitrogen
potassium hydroxide
silver
sulfuric acid
tin
trichloroethylene
zinc",,"1,1,1-trichloroethane
1,1-dichloroethene
1,2-dichloroethane
arsenic
benzene
chloroform
ethylbenzene
toluene
volatile organic compounds",Harris Corporation,,,
79,Leemilt's Petroleum,Getty Newark Terminal Site,"86 Doremus Ave., Newark NJ
Getty Newark Terminal Site",40.7303078,-74.1205698,1.5,"LeeMilt’s Petroleum, Inc.",1985,,"operated a bulk petroleum storage facility, replaced Atlantic Richfield","PAHs
PCBs
copper
lead",,,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",,,
80,"Legacy Vulcan, LLC",,"600 Doremus Ave., Newark NJ",40.7133185,-74.12984949999999,,"Legacy Vulcan, LLC",1952,1975,manufactured chemicals,"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,"DDT
ahydrous flake caustic soda
benzyl benzoate
carbon tetrachloride
chlorine
chloroform
cresyl diphenyl phosphate
dibutyl phthalate
dimethyl phthalate
hexachlorocyclohexane
hydrochloric acid
hydrogen
hydrogen chloride
iron
isophthalic acid
lead
methyl bromide
methyl chloride
methylene chloride
organic chemicals
organochlorine
organophosphorus
pentachlorophenol
phthalic anhydride
plasticizers
sodium hypochlorite
solid caustic soda
tetraphthalic acid
tin
tricresyl phosphate
zinc chloride","chlorinated hydrocarbons
chlorinated organics
lead
zinc","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury
pentaclorophenol","Legacy Vulcan, LLC",,,
81,Mallinckrodt LLC,,"223 West Side Ave., Jersey City NJ",40.7114732,-74.0933119,,Mallinckrodt LLC,1887,,manufactured and packaged chemicals,"PAHs
copper
dioxin-associated compounds
lead
mercury","acetone
alcohols
benzene
ethers
ferric chloride
ferrous sulfate
inorganic chemicals
iron oxides and salts
medicinal chemicals
mercury oxides and salts
mineral acids
photographic chemicals
potassium chloride
potassium sulfate
red mercuric oxide
sodium nitrate
toluene
uranium trioxide
xylenes
zinc acetate","PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2-dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury",Mallinckrodt LLC,,,
82,Marathon Oil,,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,,Marathon Oil,1917,,built and repaired merchant and war ships,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
copper
lead
mercury
trichloroethene
zinc",Marathon Oil,,,
83,McKesson Corp.,,"600 Doremus Ave., Newark NJ",40.7133185,-74.12984949999999,0-0.5,McKesson Corporation,1974,1987,"manufactured chemicals, transitioned facility to hazardous waste treatment facility","PCBs
copper
lead
mercury",methylene chloride,"acetone
dimethyl aniline
dimethyl sulfoxide
hydrochloric acid
methylene chloride
mixed chlorinated hydrocarbons
toluene
xylenes",methylene chloride,"PCBs
acetone
arsenic
carbon tetrachloride
hexachlorobenzene
iron
lead
mercury
methanol
methyl aniline
methylene chloride
toluene
trichloroethane",McKesson Corporation,1982.0,,
84,"Melon Leasing Corporation, Inc.",,"109-113 Jacobus Ave., Kearny NJ",40.7395074,-74.11388950000001,,"Clean Earth of North Jersey, Inc.",1984,present,"leases property to Clean Earth of North Jersey; property serves as hazardous and non hazardous waste treatment, storage and disposal facility","PAHs
copper
dioxins
lead
mercury",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
arsenic
benzene
copper
dioxin-associated compounds
dioxins
lead
mercury","Melon Leasing Corporation, Inc.",1990.0,,dioxins
85,Meltser-Tonnele Avenue LLC,Foundry Property,"221 Foundry Street, Newark NJ",40.72603489999999,-74.1304189,,Ashland LLC,1968,1990,"received, stored, and repackaged chemicals; Meltser now owns property","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",Meltser-Tonnele Avenue LLC,,,
86,"MI Holdings, Inc.",,"223 West Side Ave., Jersey City NJ",40.7114732,-74.0933119,,"MI Holdings, Inc.",1982,1993,manufactured chemicals,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2 dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury","MI Holdings, Inc.",,,
87,Nappwood Land Corporation,,"199 Main Street, Lodi NJ",40.8803284,-74.0845817,,"Purdue Pharma Technologies, Inc.",1946,1995,"produced pharmaceutical, cosmetic, and food products","PAHs
PCBs
copper
lead
mercury","methylparaben
para-hydroxybenzoic acid
trimethoprim","dioxin-associated compounds
fumaric acid
phenol
phthalic anhydride",,"1,1,1-trichloroethane
1,1,2-trichloroethane
1,2 dichlorobenzene
1,2,4 trichlorobenzene
1,3 dichlorobenzene
PAHs
PCBs
chlorobenzene
copper
lead
mercury
toluene","Nappwood Land Corporation
Purdue Pharma Technologies, Inc.",,,
88,National-Standard LLC,,"714-716 Clifton Ave., Clifton NJ",40.8708816,-74.1565214,,National-Standard LLC,1907,1988,manufactured carbon steel wire and strips,"PAHs
PCBs
lead
mercury",,"111-Trichloroethane
hydrochloric acid
lead
liquid nitrogen
sodium hydroxide
sulfuric acid",,"PCBs
acetone
arsenic
benzene
chloroform
copper
cyanide
dimethyl phthalate
lead
lead, copper, cyanide, acetone, PCBs, petroleum hydrocarbons, lead, volatile organic compounds, pesticides, dimethyl phthalate, benzene, chloroform, trichloroethene, arsenic, mercury
mercury
pesticides
petroleum hydrocarbons
trichloroethene
volatile organic compounds",National-Standard LLC,,,
89,Newell Brands Inc.,,"969 Newark Turnpike, Kearny NJ",40.7447802,-74.0948863,,"Newell Brands Inc. (f/k/a Good Products, Inc.)",1969,1994,manufactured metal hair accessories (e.g. pins and barrettes),"PAHs
copper
lead
mercury",,"copper
kerosene
lead
sulfuric acid","PAHs
copper
dioxin-associated compounds
lead
mercury","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Newell Brands Inc.,,,
90,Nokia of America Corporation,,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,,Nokia of America Corporation,,,"manufactured switchboards, wiring, telecommunications equipment, mercury relays, transformers; operated a powerhouse","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
asbestos
beryllium
chromium
copper
cyanide
lead
mercury
nickel
silver
zinc",,"PCBs
mercury",Nokia of America Corporation,,,
91,Novartis Corporation,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
92,Novelis Corporation,,"1 Jacobus Ave., Kearny NJ",40.7331497,-74.1134435,,Novelis Corporation,1953,1975,"manufactured building products, aluminum siding, roofing, and accessories","PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
benzene
benzo(a)anthracene
cadmium
chromium
chrysene
copper
lead
mercury
nickel
toluene
zinc",Novelis Corporation,,,
93,Noveon Hilton Davis,,"104-112 Lister Ave., Newark NJ",40.7390369,-74.1342955,,"Noveon Hilton Davis, Inc., a subsidiary of Dystar LP",1955,1986,"production of phthalocyanine colors for automotive industries, transoxides for textile industries, D&C colors for the drug and cosmetic industry","PAHs
PCBs
copper
lead
mercury",,"124-trichlorobenzene
chlorine
copper
dioxin-associated compounds
lead
mercury
phthalic anhydride",chlorinated benzenes,"PAHs
PCBs
copper
dichlorobenzene
hexachlorobenzene
lead
mercury
other hazardous substances
trichlorobenzene","Noveon Hilton Davis, Inc., a subsidiary of Dystar LP",,,
94,Otis Elevator Company,,"1000 First Street, Harrison NJ",40.7401367,-74.1609708,,Otis Elevator Company,1910,1980,manufactured metal products,"copper
lead
mercury",,"PCBs
copper
lead
mercury","copper
lead
mercury",lead,Otis Elevator Company,,,
95,Pabst Brewing Company,,"400 Grove Street, Newark NJ",40.7432329,-74.21068439999999,,"Pabst Brewing Company, LLC",1946,1985,brewed and packaged beer,"PAHs
copper
lead
mercury",,"PAHs
caustic soda
copper
lead
mercury","PAHs
PCBs
copper
lead
mercury","PAHs
PCBs
copper
lead
mercury","Pabst Brewing Company, LLC",,,
96,"Palin Enterprises, LLC",,"25 Belgrove Drive, Kearny NJ",40.7553144,-74.1617965,,various tenants,early 1900s,,"property manufactures linen thread, material, yarns, aluminum products, baseball bats, hockey sticks","PAHs
PCBs
copper
dioxin-associated compounds
lead",,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead",Palin Enterprises L.L.C.,,,
97,Pfister Urban Renewal Corporation,,"33 Avenue P, Newark NJ",40.7204718,-74.1316389,,Pfister Urban Renewal Corporation,1946,2001,manufactured specialty chemicals,"DDx
PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,,,"DDx
PCBs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury
other metals
xylene",Pfister Urban Renewal Corporation,,,
98,Pharmacia LLC,,"Pennsylvania Ave., Kearny NJ",40.7392831,-74.1050884,,Pharmacia LLC,1954,1994,manufactured chemicals,"PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
ethylene oxide
maleic anhydride
phenol
phosphoric acid
toluene",PCBs,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Pharmacia LLC,,,
99,Pharmacia,Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
100,Pitt-Consol Chemical Company,,"191 Doremus Ave., Newark NJ",40.7268959,-74.1239042,,"Pitt-Consol Chemical Company, a subsidiary of Du Pont Chemical and Energy Operations, Inc.",1955,1983,"distilled and extracted products from coal tar, creosote oil, and derivatives of the two","PAHs
PCBs
lead
mercury","cresol
phenols
xylenols",,,,"Pitt-Consol Chemical Company, a subsidiary of Du Pont Chemical and Energy Operations, Inc.",,,
101,"PMC Global, Inc.",,"450 Schuyler Ave., Kearny NJ",40.7639098,-74.1400468,,"PMC Global, Inc.",1971,present,"produced plastic products for graphic arts, stationary and packaging industries","PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury","PAHs
copper
lead
mercury",,"PMC Global, Inc.",,,
102,"PPG Industries, Inc.",,"29-75 Riverside Ave., Newark NJ",40.7669331,-74.16053509999999,,"PPG Industries, Inc.",1902,1971,"manufactured paint, varnish, linseed pol, lacquer, and resin","PAHs
PCBs
copper
dioxins
lead
mercury",,,"PCBs
arsenic
benzene
cadmium
chromium
copper
dioxins
lead
mercury
zinc","PAHs
PCBs
barium
cadmium
chromium
copper
dioxin-associated compounds
dioxins
lead
mercury","PPG Industries, Inc.",,,
103,PSE&G,Harrison Property,2000 Frank E. Rodgers Boulevard,40.736788,-74.15613119999999,,Public Service Electric and Gas Company,1902,,"store oil and manufactured gas (1902-1926), operated gas plant (1926- )",PAHs,,,"PAHs
aromatics
dioxins
inorganics
metals",,PSE&G,2001.0,,tar
104,PSE&G,Market Street Property,"Market Street and Raymond Boulevard, Newark NJ",40.7331574,-74.1611404,,Public Service Electric and Gas Company,1847,1954,"manufactured gas, operated ammonia plant, stored oil, tar, and ammonia liquor, operated a water gas generating house, a filtration house, and a machine shop",PAHs,,"PAHs
lead
mercury",,"PAHs
lead
mercury",PSE&G,,,
105,PSE&G,Paterson Gas Plant Property,"Wait Street, Paterson NJ",40.932827,-74.1601747,,Public Service Electric and Gas Company,mid-1860s,,"operated natural gas metering and regulating station, manufactured gas",PAHs,,"carbon
coal
oil
tar/tar pitch",,"PAHs
copper
dioxin-associated compounds
lead
mercury",PSE&G,,,
106,PSE&G,Front Street Property,"Lombardy Place and Fulton Street, Newark NJ",40.7419257,-74.1677888,,Public Service Electric and Gas Company,1869,,"operated manufactured gas plant, then operated gas holding station",PAHs,,"PAHs
coal tar
diesel fuel
gasoline
heavy metals",ammonia liquor,"PAHs
copper
lead
mercury",PSE&G,,,
107,PSE&G,East Newark Property,"419 Passaic Ave., Newark NJ and 400-404 Passaic Ave., Newark NJ",40.749986,-74.16466299999999,,Public Service Electric and Gas Company,1872,1906,"manufactured gas, operated gas holder facility",PAHs,,"PAHs
copper
lead
mercury",,,PSE&G,,,
108,PSE&G,Substation Property,"River Street and City Dock Street, Newark NJ",40.7365114,-74.1640346,,Public Service Electric and Gas Company,1891,1922,generated electricity,PAHs,,"PCBs
lead-acid batteries
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",PSE&G,,,
109,PSE&G,Coal Street Property,"McCarter Highway and Center Street, Newark NJ",40.7389536,-74.165339,,Public Service Electric and Gas Company,1894,1980,"operated power generating and street railway services, performed vehicle maintenance operations",PAHs,,"PAHs
PCBs
copper
lead",,"PAHs
PCBs
copper
lead
mercury",PSE&G,,,
110,PSE&G,Essex Property,"155 Raymond Boulevard, Newark NJ",40.7348392,-74.12797499999999,,Public Service Electric and Gas Company,1915,present,"operated electricity-generating station, generated combustion gases",PAHs,"HP boiler cleaning residuals
LP boiler cleaning residuals
air heater/fireside wash water
boiler blowdown
carbon black
coal bottom ash
coal storage runoff
combustion gases
condenser cleanings
feewater heater cleanings
filter press waste
fly ash
natural gas scrubber waste
noncontact cooling water
soot
transil oil
waste oil",,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",PSE&G,,,
111,"Purdue Pharma Technologies, Inc.",,"199 Main Street, Lodi NJ",40.8803284,-74.0845817,,"Purdue Pharma Technologies, Inc.",1946,1995,manufactured chemicals for cosmetic and pharmaceutical industries,"PAHs
PCBs
copper
lead
mercury",,"dioxin-associated compounds
fumaric acid
phenol
phthalic anhydride",,"1,1,1-trichloroethane
1,1,2-trichloroethane
1,2 dichlorobenzene
PAHs
PCBs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury
toluene","Purdue Pharma Technologies, Inc.",,,
112,"Quala Systems, Inc.
Quality Carriers, Inc.",,"80 Doremus Ave., Newark NJ",40.7304745,-74.12078439999999,,"Quala Systems, Inc.
Quality Carriers, Inc.",1970,1993,truck washing facility,"DDT
PAHs
PCBs
copper
lead
mercury",,,,"PCBs
benzene
copper
lead
phenol
zinc","Quala Systems, Inc.
Quality Carriers, Inc.",,,
113,Reckitt Benckiser LLC,,"192-194 Bloomfield Ave., Bloomfield NJ",40.7811332,-74.1909215,,Lehn&Fink,1925,1965,manufactured chemicals and pharmaceuticals,PAHs,"cresols
phenols",,PAHs,,Reckitt Beckinser LLC,,,
114,Revere Smelting and Refining Corporation,,"387 Avenue P., Newark NJ",40.721976,-74.1320247,,Revere Smelting & Refining Corporation,1957,1972,operated a lead and antimony recovery and smelting plant,"copper
lead",,"copper
lead
sodium hydroxide",,lead,Revere Smelting & Refining Corporation,,,
115,Rexam Beverage Can Company,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
116,"Roselle Mausoleum Maintenance Fund, Inc.",Kearny Landfill,"1500 Harrison Ave., Kearny NJ",40.7494916,-74.1358996,,"Roselle Mausoleum Maintenance Fund, Inc.",late 1940s,early 1980s,operated a landfill for municipal and industrial waste,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,,,"Roselle Mausoleum Maintenance Fund, Inc.",,,
117,"Roselle Mausoleum Maintenance Fund, Inc.",Keegan Landfill,"Bergan Ave., Kearny NJ",40.7575744,-74.1465172,,"Roselle Mausoleum Maintenance Fund, Inc.",late 1940s,early 1980s,operated a landfill for municipal and industrial waste,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,"1,4-dichlorobenzene
DDT
PAHs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury","2,3,7,8-TCDD
DDT
PAHs
PCBs
copper
dieldrin
lead
mercury","Roselle Mausoleum Maintenance Fund, Inc.",,,
118,"Royce Associates, a Limited Partnership",,"17 Carlton Ave., East Rutherford NJ",40.842709,-74.11353249999999,,"Royce Associates, a Limited Partnership",1931,1982,manufactured chemicals for the textile and rubber manufacturing industries,"PCBs
copper
lead
mercury","sodium
sodium dithinite
zinc hydroxymethane sulfinite
zinc sulfoxalate formaldehyde","caustic soda
formaldehyde
methanol
sodium chloride
sulfur dioxide",,"arsenic
barium
benzene
chlorobenzene
ethylbenzene
lead
mercury
methylene chloride
toluene
trichlorofluoromethane","Royce Associates, a Limited Partnership",,,
119,RT Vanderbilt Holding Company Inc.,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
120,RTC Properties Inc.,,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,,"RTC Properties, Inc.",1964,1983,dismantled ships for scrap metal,"PAHs
copper
lead
mercury",,,,"PAHs
copper
lead
mercury","RTC Properties, Inc.",,,
121,Safety-Kleen Envirosystems Co.,,"600 Doremus Ave., Newark NJ",40.7133185,-74.12984949999999,0-0.5,McKesson Corporation,1974,1982,"Safety-Kleen bought property in 1987, plant manufactured and processed chemicals, plant closed permanently in 1982","PCBs
copper
lead
mercury",,"acetone
dimethyl aniline
hydrochloric acid
methylene chloride
mixed chlorinated hydrocarbons
toluene
xylenes",methylene chloride,,Safety-Kleen Envirosystems Company,1982.0,2001.0,"PCBs, carbon, tetrachloride, methylene chloride, trichloroethane, hexachlorobenzene, methyl aniline, arsenic, lead, mercury, acetone, methanol, toluene, iron, lead"
122,Sequa Corporation,,"185 Foundry Street, Newark NJ",40.7284626,-74.13257519999999,,Sequa Corporation,1967,1987,manufactured organic pigments,"PAHs
PCBs
copper
lead
mercury",,"PCBs
acetic acid
arsenic
bis(2-ethylhexyl) phthalate
cadmium
chromium
dianilinoterephthalic acid
ditoluidinoteriphthalic acid
ethyl benzene
lead
methanol
phosphoric acid
sodium hydroxide
toluene
xylenes",,"PCBs
base neutrals
copper
lead
mercury
other priority pollutant metals
petroleum hydrocarbons
volatile organic compounds",Sequa Corporation,,,
123,"Spectraserv, Inc.",,"75 Jacobus Ave., Kearny NJ",40.7367739,-74.11367290000001,,"Spectraserv, Inc.",1962,,operated a waste treatment and disposal facility for municipal and industrial waste,"PAHs
PCBs
copper
dioxins
lead
mercury",,"PCBs
copper
cupric sulfate
lead
mercury","copper
mercury","PAHs
copper
dioxin-associated compounds
lead
mercury
other metals","Spectraserv, Inc.",1990.0,,"copper, mercury, lead, dioxin-associated compounds, PAHs, other metals"
